#{"t_start": 1718792136.0473466, "env_id": "None"}
r,l,t
-211527.0,328,1738.180548
-175615.0,296,1745.726162
-182126.0,303,1747.03468
-193931.0,300,1748.209526
-188068.0,307,1749.527777
-187029.0,304,1750.681506
-192291.0,313,1751.845388
-177562.0,300,1753.016521
-180374.0,300,1760.256492
-168000.0,287,1761.400548
-174706.0,290,1762.512708
-199648.0,319,1763.784285
-180190.0,302,1764.941093
-174738.0,297,1766.070978
-169699.0,285,1767.155999
-187432.0,305,1774.033457
-162840.0,277,1775.095459
-188849.0,306,1776.251556
-171710.0,284,1777.303466
-175779.0,294,1778.383443
-177111.0,300,1779.485406
-188439.0,305,1780.612365
-180134.0,299,1787.528567
-190872.0,315,1788.685559
-189666.0,301,1789.761452
-196509.0,314,1790.904454
-176206.0,294,1791.964691
-183205.0,308,1793.103567
-196270.0,317,1794.307964
-171207.0,291,1800.94241
-168901.0,288,1802.016419
-176089.0,288,1803.08339
-172631.0,290,1804.157902
-166104.0,295,1805.192466
-171777.0,285,1806.195464
-182726.0,304,1807.345451
-177946.0,298,1815.032957
-184845.0,311,1816.241377
-178975.0,297,1817.407504
-168100.0,291,1818.5595
-179061.0,300,1819.766411
-178301.0,297,1820.918397
-157832.0,280,1822.057401
-188249.0,300,1829.747369
-175966.0,295,1830.924402
-171895.0,294,1832.03332
-166830.0,286,1833.18339
-163575.0,290,1834.334137
-194320.0,312,1835.614754
-183793.0,304,1842.929404
-166208.0,288,1844.194429
-182811.0,298,1845.393425
-188458.0,310,1846.608044
-173237.0,289,1847.768484
-185740.0,308,1848.956402
-194802.0,311,1850.187489
-184854.0,300,1857.723412
-178016.0,295,1859.038871
-170510.0,288,1860.225169
-176156.0,296,1861.3618
-177288.0,298,1862.540431
-181901.0,305,1863.718637
-187971.0,302,1864.876973
-198666.0,317,1872.237444
-180519.0,295,1873.374382
-160720.0,294,1874.536423
-159411.0,282,1875.753398
-174353.0,295,1876.851511
-181993.0,304,1878.00138
-186568.0,303,1879.145353
-188610.0,307,1886.29738
-183506.0,303,1887.439355
-185857.0,301,1888.58537
-180568.0,305,1889.747338
-190800.0,300,1890.888553
-186092.0,308,1892.031362
-178905.0,298,1893.116799
-168043.0,289,1899.830526
-165719.0,289,1900.878349
-198385.0,313,1902.023376
-176779.0,290,1903.112217
-182176.0,299,1904.224335
-174949.0,304,1905.457101
-189290.0,310,1906.560998
-173879.0,283,1913.178344
-171442.0,288,1914.314389
-174954.0,302,1915.455667
-182300.0,303,1916.545598
-170565.0,286,1917.564277
-167132.0,290,1918.607363
-173050.0,297,1919.68634
-187539.0,308,1927.051743
-178951.0,303,1928.139573
-165945.0,287,1929.319567
-185620.0,306,1930.436021
-181925.0,299,1931.535184
-172317.0,289,1932.611444
-166868.0,290,1939.158221
-164021.0,284,1940.316332
-169670.0,285,1941.344128
-187662.0,311,1942.45332
-177467.0,294,1943.489774
-173100.0,288,1944.505167
-187235.0,306,1945.606961
-176705.0,290,1951.856013
-178508.0,300,1953.073068
-189697.0,307,1954.201669
-183394.0,305,1955.325469
-163901.0,279,1956.353585
-163007.0,290,1957.46162
-186729.0,299,1958.567772
-164846.0,294,1965.390353
-190361.0,310,1966.582322
-188737.0,303,1967.64932
-176075.0,297,1968.756293
-183302.0,303,1969.859283
-172928.0,293,1970.95123
-179186.0,305,1972.071344
-174150.0,291,1978.947682
-176885.0,296,1980.054326
-168843.0,289,1981.186279
-175481.0,300,1982.36781
-166740.0,291,1983.518295
-185007.0,306,1984.700373
-163776.0,287,1985.847696
-178183.0,295,1993.102292
-172019.0,294,1994.315308
-172594.0,294,1995.462252
-188737.0,308,1996.617808
-182945.0,303,1997.762275
-169744.0,287,1998.908519
-169113.0,287,2000.053186
-167705.0,286,2007.367792
-184281.0,303,2008.539287
-168626.0,292,2009.656259
-165507.0,291,2010.7312
-177910.0,302,2011.816193
-165179.0,297,2012.946315
-151117.0,282,2014.067382
-185658.0,306,2021.226245
-169778.0,287,2022.396248
-159085.0,283,2023.605546
-173853.0,301,2024.802346
-160938.0,290,2025.977748
-171826.0,295,2027.318931
-175867.0,296,2028.567752
-181864.0,305,2036.457104
-171080.0,296,2037.657357
-174572.0,296,2038.831059
-177947.0,297,2040.071711
-183530.0,287,2041.231029
-175273.0,299,2042.59738
-169705.0,291,2043.98677
-168534.0,291,2052.031208
-166080.0,286,2053.196522
-179009.0,300,2054.381131
-177663.0,291,2055.573779
-176087.0,300,2056.765173
-163451.0,291,2057.974511
-164337.0,290,2059.222245
-179231.0,305,2067.098261
-171922.0,292,2068.492594
-154743.0,278,2069.778862
-163295.0,280,2071.225857
-166691.0,285,2072.618464
-180654.0,303,2074.018364
-173759.0,295,2075.355114
-172501.0,294,2082.640952
-156917.0,281,2083.751344
-160987.0,291,2084.895941
-156145.0,277,2085.983993
-167102.0,290,2087.046668
-187980.0,307,2088.200512
-179039.0,297,2089.325306
-169099.0,295,2096.38179
-154655.0,291,2097.498103
-151201.0,279,2098.579662
-160938.0,283,2099.62681
-160596.0,294,2100.746573
-175730.0,301,2101.829434
-183687.0,318,2103.144159
-151559.0,277,2110.068642
-152683.0,289,2111.318168
-166026.0,278,2112.475939
-160841.0,284,2113.631814
-167255.0,298,2114.838476
-159253.0,281,2116.019198
-149679.0,287,2117.172522
-146009.0,284,2124.89871
-166281.0,292,2126.230435
-155539.0,281,2127.389915
-160194.0,279,2128.531848
-160486.0,292,2129.681166
-158366.0,283,2130.845947
-157635.0,292,2132.030123
-162049.0,293,2139.569064
-162615.0,298,2140.843006
-161649.0,281,2142.067472
-142562.0,273,2143.226342
-156336.0,277,2144.351793
-158170.0,295,2145.572608
-161511.0,284,2146.751376
-162570.0,289,2154.084513
-161584.0,296,2155.35385
-158134.0,281,2156.433535
-157216.0,283,2157.539767
-153214.0,288,2158.655184
-157004.0,289,2159.777387
-157285.0,280,2160.875561
-152962.0,287,2161.981139
-164098.0,289,2169.136296
-161116.0,281,2170.215445
-169881.0,296,2171.318238
-154398.0,284,2172.383262
-153133.0,287,2173.482583
-164914.0,291,2174.614405
-164040.0,293,2175.798348
-158370.0,275,2183.512907
-170177.0,295,2184.700826
-156186.0,284,2185.825524
-163539.0,293,2187.011246
-155556.0,286,2188.169108
-158943.0,275,2189.353241
-149718.0,280,2190.496866
-145710.0,290,2197.866191
-160236.0,289,2199.038515
-155411.0,283,2200.19692
-170810.0,295,2201.385123
-177275.0,296,2202.536575
-146730.0,263,2203.595782
-168587.0,309,2204.818236
-158404.0,282,2212.562101
-158630.0,284,2213.797606
-158939.0,291,2214.954843
-179582.0,307,2216.116046
-162663.0,293,2217.255152
-157320.0,281,2218.383727
-167431.0,298,2219.547016
-159181.0,289,2227.265106
-155343.0,301,2228.635414
-163230.0,286,2229.990852
-154725.0,281,2231.392129
-157110.0,285,2232.676425
-155784.0,288,2233.967017
-163776.0,292,2235.31174
-156023.0,288,2242.413034
-156726.0,287,2243.55204
-154472.0,290,2244.6653
-170449.0,289,2245.790281
-162681.0,287,2246.895092
-152907.0,277,2247.969631
-157878.0,282,2248.98551
-166675.0,290,2255.694303
-155472.0,281,2256.757012
-170948.0,298,2257.937187
-154409.0,286,2259.040105
-154378.0,294,2260.170436
-161452.0,287,2261.211063
-180123.0,303,2262.305166
-175539.0,312,2269.307856
-161086.0,291,2270.428055
-173549.0,293,2271.486951
-186486.0,306,2272.608405
-168572.0,297,2273.64621
-153934.0,282,2274.684758
-156812.0,278,2275.711146
-170204.0,297,2282.171334
-169174.0,293,2283.340458
-160834.0,289,2284.395016
-180261.0,301,2285.491662
-158417.0,284,2286.51616
-146240.0,275,2287.582653
-156279.0,288,2288.695352
-164461.0,284,2295.808383
-163441.0,290,2296.935606
-166073.0,286,2298.050082
-173054.0,299,2299.181045
-177354.0,300,2300.323155
-152168.0,281,2301.420511
-168008.0,293,2302.607284
-155391.0,289,2309.517138
-158044.0,285,2310.641951
-151589.0,285,2311.697776
-156058.0,285,2312.821053
-168425.0,294,2313.97179
-166314.0,297,2315.209963
-157512.0,294,2316.392005
-164722.0,288,2324.096708
-152635.0,285,2325.397519
-165577.0,290,2326.606997
-163289.0,290,2327.749998
-155453.0,280,2328.874299
-161410.0,287,2330.096904
-160063.0,286,2331.230328
-158339.0,283,2332.376071
-176312.0,296,2340.081774
-174678.0,295,2341.329046
-160106.0,290,2342.490611
-165317.0,298,2343.693954
-155557.0,280,2344.850209
-157786.0,286,2346.018127
-175215.0,297,2347.320426
-161399.0,290,2354.992885
-167079.0,292,2356.19503
-175646.0,299,2357.374508
-170417.0,300,2358.614367
-172931.0,294,2359.812268
-163761.0,287,2360.967594
-159187.0,282,2362.10468
-171211.0,294,2369.454909
-166488.0,289,2370.575279
-169501.0,295,2371.70448
-153596.0,277,2372.836916
-168034.0,293,2374.013361
-175550.0,302,2375.256187
-160797.0,278,2376.385608
-159582.0,293,2384.058205
-166313.0,297,2385.300696
-154385.0,286,2386.506272
-158031.0,284,2387.725348
-151567.0,277,2388.964344
-168236.0,298,2390.216735
-162046.0,295,2391.433415
-158040.0,284,2399.159281
-154378.0,282,2400.393621
-164427.0,299,2401.65694
-165678.0,291,2402.858175
-153172.0,284,2404.082307
-162718.0,287,2405.306562
-167381.0,297,2406.523849
-151248.0,276,2414.264199
-164579.0,289,2415.528956
-161492.0,283,2416.670133
-161869.0,297,2417.820021
-173480.0,304,2419.030236
-150487.0,284,2420.111953
-165409.0,290,2421.222981
-162732.0,290,2428.6366
-158052.0,287,2429.776838
-161082.0,283,2430.846863
-153800.0,279,2431.938996
-158419.0,299,2433.086358
-155873.0,283,2434.168898
-157180.0,288,2435.251712
-158548.0,290,2442.304189
-156195.0,291,2443.473208
-151057.0,282,2444.573247
-151881.0,289,2445.643014
-161482.0,288,2446.735576
-160122.0,287,2447.909083
-150402.0,279,2448.946088
-162089.0,289,2455.804664
-168163.0,291,2457.064308
-154616.0,280,2458.120405
-155420.0,287,2459.187906
-160759.0,290,2460.315865
-153472.0,275,2461.424301
-155680.0,290,2462.56872
-160541.0,279,2470.080051
-154752.0,276,2471.410846
-155726.0,296,2472.642699
-159437.0,286,2473.803645
-158631.0,277,2475.141042
-149273.0,275,2476.405023
-159491.0,282,2477.67884
-166629.0,296,2478.948524
-163685.0,291,2487.544121
-156448.0,280,2489.143952
-156163.0,287,2490.751518
-146497.0,276,2492.124519
-148509.0,278,2493.422351
-162095.0,301,2494.824128
-160874.0,295,2496.317365
-156583.0,292,2504.922352
-151188.0,271,2506.220306
-158511.0,284,2507.533314
-156255.0,287,2508.813052
-157412.0,292,2510.067709
-154934.0,289,2511.407029
-160809.0,298,2512.74096
-159845.0,290,2520.593345
-154447.0,280,2521.773802
-143178.0,272,2522.955632
-164197.0,298,2524.413517
-154590.0,285,2525.618895
-154606.0,290,2526.800894
-153880.0,290,2527.969659
-157657.0,291,2535.540957
-155057.0,300,2536.813032
-164195.0,291,2538.011951
-160564.0,291,2539.182055
-161576.0,295,2540.603996
-151366.0,276,2542.19511
-162449.0,296,2543.866115
-153702.0,291,2553.02467
-153992.0,282,2554.255897
-151403.0,277,2555.435483
-159325.0,280,2556.647802
-158913.0,286,2557.82002
-158645.0,291,2558.980845
-152855.0,286,2560.154595
-163488.0,302,2567.93442
-161472.0,289,2569.083475
-154274.0,280,2570.214214
-157646.0,284,2571.381366
-150426.0,295,2572.579803
-150417.0,291,2573.751011
-143903.0,273,2574.822395
-152810.0,282,2582.243757
-156170.0,289,2583.478791
-154186.0,305,2584.651028
-157346.0,290,2585.789147
-158348.0,286,2586.891147
-157125.0,296,2588.023073
-157212.0,279,2589.119084
-155611.0,293,2596.295795
-149825.0,270,2597.431963
-158210.0,290,2598.529726
-161762.0,292,2599.606054
-150786.0,289,2600.72509
-150556.0,268,2601.812255
-161849.0,295,2603.043824
-164594.0,300,2604.385159
-158924.0,284,2612.083449
-163488.0,290,2613.337882
-151585.0,280,2614.434028
-147715.0,291,2615.607448
-157228.0,296,2616.753777
-151324.0,288,2617.87834
-160989.0,289,2619.059794
-159071.0,287,2626.589019
-153338.0,286,2627.768104
-153135.0,294,2628.976079
-156704.0,284,2630.104057
-155811.0,294,2631.241962
-152971.0,285,2632.413159
-158204.0,301,2633.597791
-161360.0,290,2641.319998
-151611.0,296,2642.525028
-164743.0,294,2643.662622
-155494.0,280,2644.768171
-152744.0,291,2645.891727
-147949.0,287,2646.981597
-152563.0,278,2648.10984
-155521.0,293,2655.698852
-156452.0,284,2656.895775
-147393.0,287,2658.033659
-155936.0,291,2659.190387
-144335.0,282,2660.403919
-152999.0,271,2661.536852
-159403.0,299,2662.738985
-150842.0,278,2670.346893
-149804.0,286,2671.522133
-172165.0,306,2672.732414
-154521.0,291,2673.854524
-156143.0,286,2674.972958
-159401.0,297,2676.156459
-153287.0,277,2677.272935
-167381.0,306,2684.729875
-158926.0,282,2685.909683
-156648.0,292,2687.020061
-160916.0,296,2688.132467
-159356.0,289,2689.197811
-151044.0,285,2690.285587
-165671.0,298,2691.447425
-156512.0,290,2698.825977
-151949.0,286,2700.039034
-156202.0,287,2701.147651
-148809.0,279,2702.240589
-152828.0,289,2703.397349
-156191.0,293,2704.520133
-151963.0,284,2705.629977
-158426.0,290,2713.558898
-162060.0,277,2714.760802
-143245.0,283,2715.85884
-145586.0,279,2716.920232
-157082.0,300,2718.09565
-150202.0,279,2719.22954
-159644.0,304,2720.416462
-158072.0,287,2727.616203
-154619.0,286,2728.855797
-152317.0,282,2730.086437
-152129.0,293,2731.317847
-161795.0,292,2732.484867
-148506.0,293,2733.659955
-156548.0,290,2734.776224
-151559.0,284,2742.668234
-157455.0,291,2743.944321
-155909.0,294,2745.116655
-153944.0,295,2746.266636
-154226.0,297,2747.41085
-157977.0,297,2748.58076
-158489.0,291,2749.70049
-156193.0,287,2756.959166
-155037.0,284,2758.134334
-155130.0,293,2759.254709
-161481.0,294,2760.392333
-157645.0,281,2761.475344
-153779.0,281,2762.546864
-162134.0,302,2763.649606
-154690.0,278,2764.810891
-158093.0,282,2771.749926
-147962.0,289,2772.851362
-148532.0,282,2773.89143
-158875.0,287,2774.991572
-159420.0,293,2776.173533
-160314.0,292,2777.283268
-152739.0,285,2778.413397
-162443.0,294,2785.636829
-155278.0,284,2786.699678
-157491.0,293,2787.796866
-156287.0,294,2788.86711
-158387.0,298,2789.95718
-155795.0,280,2790.982908
-150707.0,287,2792.038654
-156736.0,283,2798.578176
-152397.0,285,2799.632767
-155657.0,289,2800.689798
-155826.0,289,2801.803303
-157265.0,288,2802.835801
-150235.0,284,2803.869249
-165144.0,303,2804.996603
-150464.0,285,2811.508049
-148818.0,288,2812.690175
-157645.0,281,2813.72947
-160875.0,299,2814.815642
-172771.0,311,2815.91157
-151480.0,280,2816.915767
-160551.0,298,2817.986407
-159894.0,291,2824.423252
-157284.0,304,2825.682745
-156363.0,283,2826.781991
-155445.0,298,2827.847208
-148378.0,288,2828.949848
-156048.0,281,2829.989969
-155510.0,293,2831.074459
-153784.0,284,2838.381685
-141955.0,279,2839.572287
-155423.0,280,2840.755859
-151243.0,290,2841.873942
-159038.0,285,2842.990047
-154895.0,284,2844.135015
-152015.0,284,2845.268207
-153605.0,292,2852.732804
-154340.0,280,2853.898231
-146909.0,287,2855.031429
-157047.0,297,2856.156204
-165086.0,296,2857.279617
-166033.0,304,2858.453611
-154568.0,293,2859.597645
-158213.0,288,2866.789696
-150804.0,288,2867.952181
-162171.0,286,2869.039255
-155335.0,282,2870.117694
-156741.0,288,2871.184711
-161472.0,297,2872.360272
-156870.0,288,2873.426183
-163306.0,288,2881.008563
-157655.0,288,2882.27441
-157390.0,290,2883.42262
-158538.0,301,2884.621894
-148869.0,270,2885.685642
-150767.0,279,2886.826099
-151371.0,286,2887.96776
-155136.0,285,2895.348925
-155703.0,295,2896.710711
-155666.0,292,2897.824841
-161258.0,298,2898.990351
-154474.0,282,2900.14269
-156522.0,291,2901.250656
-155704.0,287,2902.366596
-157369.0,299,2909.482029
-154859.0,285,2910.701099
-148291.0,288,2911.782646
-155023.0,289,2912.897164
-155213.0,300,2914.072189
-153617.0,287,2915.215289
-147989.0,289,2916.371076
-168273.0,308,2924.216923
-152564.0,293,2925.505573
-156305.0,291,2926.772665
-159136.0,270,2927.884486
-164333.0,294,2928.998555
-150993.0,294,2930.146929
-160165.0,300,2931.494568
-149451.0,286,2938.509493
-154486.0,294,2939.770033
-159783.0,290,2940.904212
-157100.0,289,2942.080868
-142870.0,279,2943.281213
-156625.0,290,2944.466744
-161423.0,291,2945.594189
-147219.0,274,2946.681069
-155527.0,291,2954.265671
-141196.0,277,2955.439338
-158581.0,280,2956.564462
-148650.0,293,2957.698145
-149859.0,278,2958.794227
-155400.0,284,2959.91025
-161604.0,300,2961.079189
-155729.0,282,2968.593445
-156111.0,289,2969.817579
-151564.0,283,2971.025687
-160819.0,281,2972.158642
-155655.0,293,2973.462259
-156803.0,299,2974.67432
-148801.0,288,2975.812125
-154981.0,285,2983.106582
-154075.0,280,2984.230024
-155919.0,294,2985.374184
-162252.0,282,2986.506938
-161433.0,280,2987.555821
-154984.0,283,2988.630914
-156799.0,294,2989.79395
-149519.0,289,2997.612795
-157701.0,305,2998.847556
-158312.0,291,3000.0401
-156215.0,281,3001.138212
-155970.0,290,3002.258689
-146666.0,292,3003.452596
-158675.0,289,3004.622869
-165801.0,297,3012.235594
-155080.0,278,3013.373435
-155926.0,291,3014.601182
-161243.0,300,3015.826599
-153282.0,288,3016.992925
-158252.0,287,3018.148378
-155196.0,284,3019.271428
-154185.0,288,3027.152496
-150572.0,289,3028.347538
-152790.0,279,3029.417265
-160754.0,288,3030.583172
-155848.0,284,3031.717417
-156480.0,290,3032.915411
-152026.0,286,3034.042411
-150910.0,285,3041.524425
-161934.0,286,3042.722437
-161823.0,291,3044.016433
-149206.0,290,3045.202492
-149917.0,286,3046.362421
-154167.0,288,3047.483346
-152065.0,285,3048.620438
-152747.0,291,3055.96077
-158288.0,303,3057.223304
-159712.0,307,3058.400445
-153425.0,288,3059.508411
-155282.0,295,3060.612406
-153998.0,284,3061.766767
-146249.0,292,3062.859428
-152508.0,286,3069.919464
-158142.0,304,3071.139361
-152140.0,281,3072.177955
-156534.0,301,3073.318365
-154937.0,291,3074.392428
-162482.0,301,3075.575363
-154957.0,295,3076.658416
-158034.0,304,3083.552535
-152376.0,290,3084.778662
-167616.0,301,3085.897445
-150228.0,291,3086.994058
-150102.0,288,3088.042459
-153050.0,291,3089.095418
-151181.0,290,3090.149874
-146621.0,284,3096.694413
-157676.0,286,3097.823427
-158749.0,291,3098.880363
-151262.0,284,3099.958341
-158822.0,305,3101.10539
-164994.0,311,3102.20337
-171575.0,298,3103.272304
-167882.0,305,3110.352296
-155186.0,289,3111.648327
-152539.0,273,3112.74333
-154029.0,292,3113.936266
-157636.0,293,3115.125054
-154781.0,295,3116.347351
-151107.0,296,3117.558707
-159137.0,293,3124.948346
-152636.0,281,3126.146392
-164854.0,294,3127.332296
-159179.0,306,3128.52988
-154658.0,300,3129.72845
-153597.0,280,3130.825595
-159127.0,300,3132.090539
-159039.0,289,3139.401344
-162369.0,300,3140.65532
-145917.0,273,3141.694439
-153629.0,296,3142.860473
-152394.0,291,3143.949893
-149772.0,289,3145.059695
-150405.0,283,3146.154321
-164617.0,306,3153.24731
-158218.0,292,3154.412338
-154210.0,285,3155.551798
-162759.0,300,3156.643876
-159758.0,289,3157.730303
-145928.0,300,3158.819258
-148401.0,288,3159.860674
-156051.0,289,3166.663328
-144658.0,289,3167.824111
-161821.0,282,3168.974995
-148694.0,272,3170.072481
-149640.0,279,3171.167194
-148793.0,285,3172.214909
-163726.0,301,3173.30753
-149351.0,298,3174.421819
-150963.0,282,3181.167246
-150516.0,286,3182.211267
-147902.0,274,3183.225249
-154572.0,295,3184.289791
-150249.0,299,3185.371358
-152605.0,285,3186.435366
-150066.0,284,3187.483316
-154295.0,278,3194.413369
-161347.0,292,3195.559209
-158013.0,290,3196.642309
-155532.0,279,3197.739771
-149399.0,274,3198.845275
-148307.0,281,3199.938313
-150203.0,288,3201.127279
-152192.0,286,3208.779272
-154155.0,283,3209.906268
-155012.0,280,3210.987944
-154122.0,290,3212.13838
-157875.0,284,3213.309265
-158577.0,301,3214.471302
-161116.0,292,3215.588285
-153003.0,282,3223.059337
-149550.0,294,3224.308117
-163781.0,289,3225.39919
-150884.0,284,3226.578296
-159147.0,283,3227.71224
-158513.0,294,3228.824815
-157647.0,294,3229.952163
-154705.0,287,3236.982251
-153479.0,290,3238.136232
-157443.0,291,3239.221353
-160072.0,291,3240.29424
-156150.0,282,3241.342255
-164853.0,293,3242.435333
-148032.0,281,3243.440229
-149781.0,286,3250.709656
-152374.0,287,3251.92232
-156181.0,273,3253.015202
-160030.0,284,3254.112488
-155107.0,298,3255.347106
-157155.0,292,3256.645416
-150443.0,299,3257.884516
-154562.0,293,3265.426242
-153245.0,293,3266.650405
-154060.0,285,3267.768604
-149494.0,290,3268.925316
-157180.0,294,3270.038812
-158073.0,298,3271.208226
-157865.0,291,3272.396869
-156267.0,295,3279.681207
-158026.0,296,3280.892227
-156244.0,296,3282.042865
-155244.0,291,3283.127378
-158706.0,301,3284.229513
-154818.0,297,3285.340201
-160674.0,289,3286.40526
-167425.0,288,3293.159725
-159040.0,288,3294.271205
-151197.0,288,3295.350194
-151418.0,288,3296.4622
-151770.0,289,3297.633008
-157110.0,285,3298.729687
-150515.0,275,3299.743918
-149834.0,289,3306.538254
-156170.0,294,3307.638181
-159031.0,301,3308.743168
-158472.0,288,3309.786173
-153212.0,287,3310.820234
-149441.0,298,3312.122156
-159451.0,291,3313.377081
-153557.0,295,3320.34415
-153079.0,288,3321.662151
-155178.0,292,3322.79546
-171366.0,301,3323.906788
-156680.0,290,3325.042063
-160169.0,292,3326.181575
-157367.0,292,3327.347983
-155076.0,296,3334.335114
-156516.0,300,3335.577969
-165702.0,299,3336.740236
-154941.0,300,3337.848106
-158377.0,294,3338.926183
-148391.0,277,3340.012025
-152856.0,295,3341.122193
-152038.0,286,3347.85721
-157367.0,289,3349.033108
-159307.0,290,3350.139452
-158625.0,300,3351.244209
-155020.0,295,3352.327148
-147330.0,290,3353.412181
-151933.0,285,3354.494167
-160571.0,286,3361.357189
-160990.0,296,3362.649649
-149954.0,291,3363.830133
-157429.0,291,3365.000093
-150802.0,302,3366.195104
-159419.0,303,3367.421197
-152819.0,283,3368.618062
-155660.0,289,3375.906142
-153761.0,286,3377.109091
-157983.0,300,3378.371145
-153335.0,290,3379.530142
-148845.0,273,3380.607086
-153301.0,297,3381.756138
-146983.0,275,3382.865058
-153875.0,290,3384.22018
-153742.0,282,3391.848143
-154089.0,300,3393.029035
-153170.0,282,3394.112185
-151437.0,292,3395.293324
-150245.0,291,3396.405715
-154037.0,295,3397.55406
-162731.0,305,3398.709179
-156101.0,290,3406.020105
-150465.0,281,3407.12809
-150781.0,289,3408.220416
-152816.0,294,3409.367109
-153563.0,291,3410.53985
-156976.0,301,3411.662198
-157160.0,292,3412.770099
-157565.0,284,3419.958084
-154134.0,288,3421.132157
-153027.0,284,3422.241111
-148426.0,285,3423.354161
-156640.0,279,3424.426108
-153006.0,274,3425.540127
-161366.0,288,3426.685117
-156998.0,287,3434.917906
-163176.0,301,3436.307283
-150002.0,275,3437.473098
-151049.0,285,3438.743127
-154517.0,285,3439.901064
-159035.0,305,3441.154086
-153083.0,281,3442.281073
-160863.0,298,3450.281272
-156586.0,283,3451.683227
-157831.0,287,3452.911118
-149341.0,288,3454.098065
-151842.0,279,3455.262196
-147653.0,292,3456.447921
-160036.0,297,3457.610079
-160917.0,302,3465.196383
-150979.0,283,3466.357781
-145910.0,274,3467.43798
-156749.0,292,3468.579529
-161263.0,296,3469.759038
-167395.0,303,3470.976074
-150901.0,276,3472.105303
-161068.0,299,3479.688563
-156354.0,292,3480.903925
-156790.0,290,3482.033059
-160474.0,292,3483.22703
-165686.0,295,3484.389524
-152077.0,296,3485.575877
-156412.0,297,3486.868716
-155981.0,305,3494.236032
-158148.0,290,3495.445058
-159459.0,292,3496.573095
-149933.0,284,3497.647103
-156469.0,288,3498.758805
-166611.0,289,3499.837654
-157460.0,289,3500.952116
-159262.0,290,3508.375032
-151731.0,292,3509.651121
-152724.0,295,3510.841582
-152535.0,284,3512.099851
-147809.0,284,3513.236031
-153923.0,292,3514.375863
-149432.0,287,3515.519019
-157902.0,288,3522.758359
-159231.0,299,3523.994273
-154430.0,291,3525.195991
-149627.0,283,3526.356929
-145605.0,289,3527.534243
-156129.0,295,3528.696187
-160465.0,302,3529.901087
-158851.0,304,3537.522022
-153103.0,290,3538.743506
-164523.0,309,3539.991707
-150274.0,283,3541.149895
-157386.0,277,3542.25718
-167006.0,286,3543.414334
-151497.0,289,3544.538107
-158400.0,304,3551.859213
-157897.0,283,3552.996345
-149839.0,285,3554.116042
-156692.0,291,3555.284028
-155454.0,296,3556.433465
-157672.0,292,3557.631696
-155912.0,288,3558.746124
-163968.0,302,3566.444661
-158164.0,289,3567.662592
-150514.0,291,3568.80264
-161867.0,290,3569.972918
-156540.0,288,3571.126465
-155251.0,291,3572.277897
-150526.0,284,3573.400973
-158531.0,298,3582.05877
-149144.0,271,3583.372118
-150123.0,291,3584.864218
-153705.0,291,3586.088192
-158369.0,297,3587.290187
-148291.0,282,3588.489005
-160415.0,302,3589.734068
-155952.0,277,3597.207009
-161608.0,293,3598.4839
-155586.0,293,3599.651939
-163890.0,303,3601.105915
-156412.0,304,3602.381936
-166975.0,299,3603.649421
-159123.0,307,3604.959608
-158305.0,298,3612.428801
-158185.0,300,3613.689477
-158357.0,303,3614.881877
-147373.0,282,3616.001003
-155626.0,297,3617.156904
-159334.0,297,3618.305957
-157529.0,296,3619.473954
-160476.0,290,3626.647911
-158810.0,296,3627.936732
-162465.0,300,3629.102358
-163961.0,297,3630.241511
-161464.0,294,3631.354639
-158453.0,300,3632.64719
-160139.0,305,3633.805538
-156611.0,294,3640.73544
-164296.0,298,3641.843902
-160536.0,298,3642.936774
-158473.0,298,3644.079818
-152784.0,284,3645.160862
-151919.0,286,3646.243892
-159008.0,286,3647.322884
-151584.0,287,3654.04884
-157387.0,290,3655.151942
-153408.0,292,3656.224573
-150055.0,292,3657.296865
-155268.0,294,3658.379887
-161380.0,291,3659.471837
-159099.0,295,3660.530885
-157635.0,294,3667.067858
-156034.0,285,3668.14185
-159300.0,306,3669.266944
-157458.0,291,3670.334871
-148130.0,277,3671.374873
-155631.0,286,3672.451887
-151624.0,290,3673.530875
-154971.0,296,3680.093879
-162016.0,298,3681.165892
-152293.0,288,3682.251162
-156492.0,288,3683.304229
-159372.0,302,3684.441028
-154290.0,300,3685.516056
-154058.0,293,3686.621526
-152015.0,288,3693.776784
-158512.0,294,3694.91492
-160618.0,301,3696.071862
-153530.0,295,3697.194875
-148426.0,283,3698.380134
-150405.0,282,3699.513908
-150946.0,282,3700.670991
-167684.0,302,3708.525861
-158375.0,283,3709.757436
-155045.0,280,3710.884103
-153184.0,292,3712.046836
-164734.0,301,3713.218867
-155542.0,294,3714.427912
-153040.0,294,3715.643918
-148679.0,280,3723.316284
-161378.0,300,3724.603605
-152853.0,298,3725.803178
-159149.0,283,3726.944864
-162163.0,295,3728.199871
-153566.0,295,3729.414143
-160623.0,291,3730.745836
-147817.0,281,3738.222015
-156657.0,291,3739.439028
-155378.0,295,3740.640833
-161647.0,301,3741.799834
-156195.0,292,3742.975834
-159022.0,285,3744.12898
-153947.0,298,3745.359411
-165073.0,304,3752.822819
-158806.0,295,3754.071789
-152485.0,294,3755.198365
-156835.0,303,3756.329341
-146910.0,286,3757.417829
-154289.0,285,3758.552631
-154360.0,294,3759.711795
-157673.0,293,3766.85577
-152469.0,297,3768.092034
-153947.0,288,3769.321907
